,Web_browser,operating_system,from_url,to_url,city,longitude,latitude,time_zone,time_in,time_out
31,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:41:16,2012-03-16 18:31:49
35,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:41:18,2012-03-16 18:31:49
58,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:41:34,2012-03-16 18:31:49
59,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:41:35,2012-03-16 18:31:49
60,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:41:35,2012-03-16 18:16:41
117,Microsoft Internet Explorer,Windows,direct,www.nasa.gov,Houston,29.775499,-95.415199,America/Chicago,2012-03-16 18:42:19,2012-02-29 18:21:26
119,Microsoft Internet Explorer,Windows,direct,studentaid.ed.gov,Needham,42.279301,-71.245003,America/New_York,2012-03-16 18:42:19,2011-06-22 14:08:11
130,Microsoft Internet Explorer,Windows,www.aashtojournal.org,www.dot.ca.gov,Berkeley,37.878101,-122.271004,America/Los_Angeles,2012-03-16 18:42:31,2012-03-14 20:42:43
150,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:42:51,2012-03-16 18:16:41
184,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:43:27,2012-03-16 18:31:49
192,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:43:35,2012-03-16 18:31:49
203,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:43:46,2012-03-16 18:27:33
204,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:43:47,2012-03-16 18:27:33
216,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:43:57,2012-03-16 18:31:49
218,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:43:58,2012-03-16 18:31:49
306,Safari,iOS,direct,www.fda.gov,Torrance,33.8302,-118.314697,America/Los_Angeles,2012-03-16 18:45:14,2012-03-15 13:32:38
312,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:45:22,2012-03-16 18:31:49
316,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:45:29,2012-03-16 18:16:41
368,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 18:46:22,2012-03-16 18:31:49
372,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:46:24,2012-03-16 18:31:49
382,Firefox,Linux,today.lbl.gov,www.jgi.doe.gov,Albany,37.8895,-122.294701,America/Los_Angeles,2012-03-16 18:46:33,2011-09-21 20:11:35
398,Firefox,Windows,today.lbl.gov,www.jgi.doe.gov,Berkeley,37.866798,-122.253601,America/Los_Angeles,2012-03-16 18:46:51,2011-09-21 20:11:35
422,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 18:47:17,2012-03-16 18:16:41
473,Microsoft Internet Explorer,Windows,fightbac.org,www.cdc.gov,East Orange,40.763901,-74.212601,America/New_York,2012-03-16 18:47:48,2010-12-15 14:40:29
